date,symbol,open,close,low,high,volume
2021-07-02,KOSPI,3282.810059,3281.780029,3278.189941,3295.679932,1019400
2021-07-05,KOSPI,3285.290039,3293.209961,3285.290039,3298.929932,849700
2021-07-06,KOSPI,3295.439941,3305.209961,3295.439941,3313.510010,1028800
2021-07-07,KOSPI,3303.590088,3285.340088,3277.659912,3303.590088,1146800
2021-07-08,KOSPI,3287.679932,3252.679932,3252.409912,3295.709961,1515200
2021-07-09,KOSPI,3245.520020,3217.949951,3188.800049,3245.520020,1307500
2021-07-12,KOSPI,3227.510010,3246.469971,3227.510010,3251.449951,1134600
2021-07-13,KOSPI,3253.239990,3271.379883,3253.239990,3273.899902,1149500
2021-07-14,KOSPI,3270.090088,3264.810059,3250.449951,3270.090088,908300
2021-07-15,KOSPI,3269.330078,3286.219971,3263.090088,3286.580078,1171900
2021-07-16,KOSPI,3282.889893,3276.909912,3259.320068,3282.889893,1066100
2021-07-19,KOSPI,3258.870117,3244.040039,3236.389893,3258.870117,1095100
2021-07-20,KOSPI,3223.239990,3232.699951,3214.419922,3234.800049,979300
2021-07-21,KOSPI,3251.129883,3215.909912,3215.909912,3252.250000,990300
2021-07-22,KOSPI,3235.169922,3250.209961,3235.169922,3253.750000,713000
2021-07-23,KOSPI,3253.439941,3254.419922,3246.090088,3264.010010,804600
2021-07-26,KOSPI,3265.989990,3224.949951,3224.949951,3265.989990,826100
2021-07-27,KOSPI,3244.429932,3232.530029,3230.750000,3252.850098,991600
2021-07-28,KOSPI,3226.060059,3236.860107,3210.899902,3243.209961,868200
2021-07-29,KOSPI,3248.489990,3242.649902,3232.500000,3252.260010,694500
2021-07-30,KOSPI,3234.370117,3202.320068,3202.320068,3234.659912,687500
2021-08-02,KOSPI,3218.419922,3223.040039,3194.000000,3223.040039,560800
2021-08-03,KOSPI,3221.570068,3237.139893,3213.199951,3237.139893,653200
2021-08-04,KOSPI,3246.649902,3280.379883,3237.550049,3283.139893,632000
2021-08-05,KOSPI,3283.250000,3276.129883,3273.330078,3296.169922,680000
2021-08-06,KOSPI,3277.060059,3270.360107,3261.929932,3288.169922,939900
2021-08-09,KOSPI,3258.100098,3260.419922,3251.739990,3275.149902,706500
2021-08-10,KOSPI,3272.439941,3243.189941,3232.459961,3272.439941,729000
2021-08-11,KOSPI,3235.360107,3220.620117,3217.649902,3250.209961,616700
2021-08-12,KOSPI,3213.580078,3208.379883,3202.110107,3229.590088,642600
2021-08-13,KOSPI,3205.750000,3171.290039,3146.760010,3209.719971,695600
2021-08-17,KOSPI,3169.739990,3143.090088,3134.479980,3179.489990,690800
2021-08-18,KOSPI,3141.979980,3158.929932,3124.560059,3175.879883,622800
2021-08-19,KOSPI,3140.010010,3097.830078,3097.830078,3158.000000,655600
2021-08-20,KOSPI,3111.100098,3060.510010,3049.030029,3122.090088,672100
2021-08-23,KOSPI,3086.810059,3090.209961,3064.649902,3111.810059,570400
2021-08-24,KOSPI,3119.699951,3138.300049,3115.229980,3142.580078,586500
2021-08-25,KOSPI,3148.129883,3146.810059,3124.250000,3161.000000,600400
2021-08-26,KOSPI,3151.300049,3128.530029,3121.040039,3159.370117,727700
2021-08-27,KOSPI,3116.290039,3133.899902,3106.969971,3143.010010,520700
2021-08-30,KOSPI,3160.870117,3144.189941,3132.770020,3164.870117,602900
2021-08-31,KOSPI,3144.489990,3199.270020,3130.300049,3199.889893,660500
2021-09-01,KOSPI,3195.669922,3207.020020,3185.800049,3215.129883,746700
2021-09-02,KOSPI,3198.030029,3175.850098,3171.780029,3204.010010,753900
2021-09-03,KOSPI,3189.709961,3201.060059,3181.639893,3203.080078,638300
2021-09-06,KOSPI,3196.300049,3203.330078,3186.790039,3206.250000,726200
2021-09-07,KOSPI,3200.070068,3187.419922,3176.810059,3201.760010,758700
2021-09-08,KOSPI,3178.739990,3162.989990,3157.070068,3187.550049,858500
2021-09-09,KOSPI,3146.639893,3114.699951,3111.489990,3158.600098,927400
2021-09-10,KOSPI,3121.090088,3125.760010,3103.379883,3131.540039,723100
2021-09-13,KOSPI,3117.350098,3127.860107,3109.010010,3139.129883,731200
2021-09-14,KOSPI,3137.320068,3148.830078,3137.320068,3164.310059,712400
2021-09-15,KOSPI,3147.209961,3153.399902,3138.800049,3164.010010,615200
2021-09-16,KOSPI,3165.379883,3130.090088,3126.649902,3167.679932,612000
2021-09-17,KOSPI,3127.750000,3140.510010,3112.510010,3142.129883,587500
2021-09-23,KOSPI,3123.639893,3127.580078,3107.979980,3131.629883,623000
2021-09-24,KOSPI,3140.729980,3125.239990,3119.399902,3146.860107,752800
2021-09-27,KOSPI,3121.699951,3133.639893,3119.260010,3146.350098,882600
2021-09-28,KOSPI,3133.399902,3097.919922,3095.719971,3134.459961,894100
2021-09-29,KOSPI,3055.500000,3060.270020,3030.600098,3069.040039,820700
2021-09-30,KOSPI,3054.870117,3068.820068,3046.429932,3079.429932,885400
2021-10-01,KOSPI,3056.209961,3019.179932,3015.010010,3062.600098,854800
2021-10-05,KOSPI,2998.169922,2962.169922,2940.590088,2998.169922,839400
2021-10-06,KOSPI,2986.060059,2908.310059,2908.300049,2993.469971,900500
